City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Poum,-20.2333,164.0167,78.51,70,6,6.17,NC,1649899648
Yerbogachën,61.2767,108.0108,32.45,96,100,15.48,RU,1649899648
Punta Arenas,-53.15,-70.9167,50.11,87,20,26.46,CL,1649899648
Nikolskoye,59.7035,30.7861,36.72,94,89,2.35,RU,1649899499
Atuona,-9.8,-139.0333,78.98,78,69,18.3,PF,1649899649
Norman Wells,65.282,-126.8329,23.04,68,75,16.11,CA,1649899649
Taywarah,33.35,64.4167,42.87,35,0,3.49,AF,1649899649
Areosa,41.7178,-8.8571,53.69,91,100,5.26,PT,1649899650
Riyadh,24.6877,46.7219,80.74,30,100,7.0,SA,1649899585
Dikson,73.5069,80.5464,19.51,96,100,9.19,RU,1649899650
Busselton,-33.65,115.3333,61.16,65,0,8.41,AU,1649899373
Alta Floresta,-9.8756,-56.0861,74.26,91,11,2.04,BR,1649899650
Faanui,-16.4833,-151.75,81.41,73,17,14.03,PF,1649899651
Thompson,55.7435,-97.8558,21.36,63,100,13.8,CA,1649899594
Black River,18.0264,-77.8487,78.19,76,6,6.49,JM,1649899651
Champerico,14.3,-91.9167,84.63,65,96,7.72,GT,1649899651
Tocopilla,-22.092,-70.1979,64.71,70,13,6.24,CL,1649899652
Havre-St-Pierre,50.2334,-63.5986,34.16,93,100,2.3,CA,1649899652
Upernavik,72.7868,-56.1549,-8.0,99,94,7.61,GL,1649899652
Aban,56.67,96.06,34.25,72,35,7.02,RU,1649899652
São Filipe,14.8961,-24.4956,71.38,76,75,5.46,CV,1649899653
Khatanga,71.9667,102.5,6.51,93,100,7.78,RU,1649899653
Rikitea,-23.1203,-134.9692,77.85,71,12,18.34,PF,1649899392
Timizart,36.8,4.2667,52.34,88,100,3.85,DZ,1649899653
Ruwi,23.5996,58.5507,80.29,42,64,3.33,OM,1649899654
Hilo,19.7297,-155.09,85.28,80,100,8.05,US,1649899654
Hermanus,-34.4187,19.2345,62.8,87,100,8.32,ZA,1649899654
Port Alfred,-33.5906,26.891,65.84,87,94,11.68,ZA,1649899655
Isla Vista,34.4133,-119.861,67.98,43,0,8.99,US,1649899362
Belturbet,54.1,-7.45,45.97,97,78,3.4,IE,1649899655
Hong Kong,22.2855,114.1577,79.95,73,0,8.01,HK,1649899589
George Town,5.4112,100.3354,84.13,87,20,3.44,MY,1649899396
Hohhot,40.8106,111.6522,44.89,36,0,8.95,CN,1649899655
Cam Ranh,11.9214,109.1591,82.36,74,100,2.3,VN,1649899656
Pangnirtung,66.1451,-65.7125,-6.95,97,82,5.79,CA,1649899656
Srednekolymsk,67.45,153.6833,5.18,86,99,9.13,RU,1649899657
Castro,-24.7911,-50.0119,61.56,97,11,0.47,BR,1649899657
Ushuaia,-54.8,-68.3,51.46,71,40,36.82,AR,1649899429
Cape Town,-33.9258,18.4232,63.91,86,0,18.41,ZA,1649899657
Kumul,42.8,93.45,49.91,16,0,18.16,CN,1649899658
Āsind,25.7333,74.3333,78.98,27,0,13.96,IN,1649899658
Butaritari,3.0707,172.7902,81.73,76,21,16.04,KI,1649899658
Niamey,13.5137,2.1098,91.69,40,0,12.66,NE,1649899659
Nadym,65.5333,72.5167,30.74,91,100,7.96,RU,1649899659
Hasaki,35.7333,140.8333,54.0,86,100,26.08,JP,1649899660
Mataura,-46.1927,168.8643,60.48,53,21,4.68,NZ,1649899660
Jevargi,17.0167,76.7667,85.42,43,100,8.57,IN,1649899660
Catabola,-12.15,17.2833,61.47,96,100,1.41,AO,1649899660
Rūdsar,37.1376,50.288,53.58,88,81,7.85,IR,1649899661
Yellowknife,62.456,-114.3525,14.29,67,0,6.91,CA,1649899398
Albany,42.6001,-73.9662,66.72,73,77,3.78,US,1649899304
Mahébourg,-20.4081,57.7,78.26,88,75,14.97,MU,1649899661
Hobart,-42.8794,147.3294,65.26,58,0,10.36,AU,1649899527
Klaksvík,62.2266,-6.589,41.92,86,34,17.67,FO,1649899660
Perumpāvūr,10.1333,76.4833,76.91,94,100,0.0,IN,1649899662
Chui,-33.6971,-53.4616,54.99,72,0,7.85,UY,1649899662
Qasigiannguit,68.8193,-51.1922,19.65,99,100,6.29,GL,1649899662
Alofi,-19.0595,-169.9187,78.69,94,15,5.75,NU,1649899664
Vilhena,-12.7406,-60.1458,69.58,95,44,1.28,BR,1649899506
Nemuro,43.3236,145.575,33.55,71,18,6.73,JP,1649899664
Puerto Ayora,-0.7393,-90.3518,76.89,88,99,6.82,EC,1649899529
East London,-33.0153,27.9116,68.04,89,100,7.27,ZA,1649899665
Kenai,60.5544,-151.2583,45.03,57,0,8.05,US,1649899665
Camacha,33.0833,-16.3333,58.42,72,40,8.05,PT,1649899665
Bethel,41.3712,-73.414,66.29,74,0,0.0,US,1649899665
Mitsamiouli,-11.3847,43.2844,81.55,75,79,8.86,KM,1649899666
Laguna,38.421,-121.4238,59.76,50,100,12.66,US,1649899515
Phek,25.6667,94.5,61.56,79,21,2.75,IN,1649899666
Airai,-8.9266,125.4092,71.87,65,100,0.74,TL,1649899666
Longyearbyen,78.2186,15.6401,17.44,67,75,5.75,SJ,1649899667
Avarua,-21.2078,-159.775,86.05,70,20,4.61,CK,1649899667
Cherskiy,68.75,161.3,10.99,88,100,8.66,RU,1649899667
Tingo María,-9.2895,-76.0088,70.56,98,100,1.97,PE,1649899668
Kenora,49.8167,-94.4337,31.17,93,100,18.41,CA,1649899492
Bielsko-Biala,49.8224,19.0469,45.93,74,77,4.81,PL,1649899668
Isangel,-19.55,169.2667,83.82,71,13,5.73,VU,1649899668
Bredasdorp,-34.5322,20.0403,62.71,84,100,4.54,ZA,1649899669
Saint-Pierre,-21.3393,55.4781,73.29,89,20,5.75,RE,1649899669
Magistral'nyy,56.1725,107.4458,35.58,65,100,8.43,RU,1649899669
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,60.4,78,6,6.62,AR,1649899670
Lata,40.1629,-8.3327,49.12,98,100,2.04,PT,1649899670
Belmonte,-15.8631,-38.8828,78.3,82,7,6.44,BR,1649899671
Saskylakh,71.9167,114.0833,1.06,95,100,9.95,RU,1649899671
Alice Springs,-23.7,133.8833,89.15,20,0,9.22,AU,1649899669
Zhigansk,66.7697,123.3711,23.18,94,100,21.21,RU,1649899672
Lompoc,34.6391,-120.4579,62.78,61,0,23.02,US,1649899672
Kavieng,-2.5744,150.7967,85.62,68,63,11.5,PG,1649899393
San Patricio,28.017,-97.5169,86.09,82,0,11.77,US,1649899672
Port Lincoln,-34.7333,135.8667,66.54,81,100,19.62,AU,1649899508
Kaitangata,-46.2817,169.8464,61.54,54,17,6.82,NZ,1649899673
Wagar,16.1525,36.2032,84.7,37,4,7.25,SD,1649899673
Pleasanton,37.6624,-121.8747,58.28,55,20,16.11,US,1649899480
Kandrian,-6.2167,149.55,87.21,62,100,2.64,PG,1649899673
Nanortalik,60.1432,-45.2371,35.06,83,100,2.62,GL,1649899663
Lavrentiya,65.5833,-171.0,26.76,85,100,13.42,RU,1649899674
Manaure,11.7751,-72.4445,79.77,74,9,20.98,CO,1649899674
Vaini,-21.2,-175.2,84.36,89,40,10.36,TO,1649899675
Verkh-Usugli,52.7,115.1667,34.97,37,16,9.24,RU,1649899675
Mar del Plata,-38.0023,-57.5575,58.87,80,0,8.01,AR,1649899675
Kapaa,22.0752,-159.319,82.38,74,75,14.97,US,1649899418
Botou,38.0667,116.5667,55.74,27,100,5.53,CN,1649899676
Husavik,66.0449,-17.3389,33.6,83,50,15.5,IS,1649899676
New Norfolk,-42.7826,147.0587,64.92,54,100,1.99,AU,1649899676
